,TEAM,PACE,AST,TO,REBR,OFF EFF,DEF EFF,Number of all stars,TEAM_ID,CITY,year
0,BKN,101.8,19.5,12.2,50.8,116.3,110.6,0.001,1610612751,Brooklyn,2020-2021
1,LAC,99.1,18.4,12.2,51.7,115.2,108.7,2.001,1610612746,Los Angeles,2020-2021
2,UTA,100.8,17.5,12.7,53.1,115.1,105.7,3.001,1610612762,Utah,2020-2021
3,PHX,99.3,19.8,11.5,50.1,114.9,108.8,0.001,1610612756,Phoenix,2020-2021
4,POR,100.8,16.0,9.9,49.5,114.9,113.4,1.001,1610612757,Portland,2020-2021
5,MIL,104.4,18.1,12.0,52.6,114.7,109.1,1.001,1610612749,Milwaukee,2020-2021
6,DEN,99.3,19.4,12.1,51.9,114.2,110.0,1.001,1610612743,Denver,2020-2021
7,ATL,99.9,17.8,11.9,51.7,113.0,110.6,0.001,1610612737,Atlanta,2020-2021
8,DAL,99.5,17.4,11.1,49.7,112.9,110.4,1.001,1610612742,Dallas,2020-2021
9,SAC,102.2,18.6,12.0,47.8,111.1,114.6,0.001,1610612758,Sacramento,2020-2021
10,BOS,100.7,17.3,12.5,51.0,111.0,110.0,2.001,1610612738,Boston,2020-2021
11,PHI,101.8,17.4,12.8,51.2,110.8,105.1,0.001,1610612755,Philadelphia,2020-2021
12,NOP,102.3,18.4,12.7,53.1,110.8,111.6,1.001,1610612740,New Orleans,2020-2021
13,IND,104.0,19.4,11.9,47.7,109.9,109.6,1.001,1610612754,Indiana,2020-2021
14,MEM,102.6,19.0,11.6,51.0,109.7,108.5,0.001,1610612763,Memphis,2020-2021
15,TOR,101.6,17.8,11.9,47.6,109.3,109.8,0.001,1610612761,Toronto,2020-2021
16,MIA,98.7,19.7,13.1,49.2,109.1,108.5,0.001,1610612748,Miami,2020-2021
17,WAS,106.4,17.9,12.3,49.5,108.9,110.5,1.001,1610612764,Washington,2020-2021
18,GSW,104.4,19.7,13.3,47.6,108.8,107.7,1.001,1610612744,Golden State,2020-2021
19,CHI,101.1,19.4,13.6,51.6,108.7,109.9,1.001,1610612741,Chicago,2020-2021
20,SAS,101.0,18.0,10.2,48.1,108.6,110.7,0.001,1610612759,San Antonio,2020-2021
21,NYK,98.2,16.5,11.9,50.6,108.2,105.7,1.001,1610612752,New York,2020-2021
22,CHA,100.6,19.4,13.3,49.2,108.1,110.6,0.001,1610612766,Charlotte,2020-2021
23,LAL,100.8,18.1,13.6,51.3,107.5,104.8,1.001,1610612747,Los Angeles,2020-2021
24,MIN,104.1,18.2,12.4,48.7,107.0,112.1,0.001,1610612750,Minnesota,2020-2021
25,DET,100.1,17.9,13.5,49.1,105.4,110.3,0.001,1610612765,Detroit,2020-2021
26,HOU,103.6,17.3,13.0,47.2,104.9,112.4,0.001,1610612745,Houston,2020-2021
27,CLE,99.6,17.7,13.9,49.4,103.1,112.1,0.001,1610612739,Cleveland,2020-2021
28,ORL,100.8,16.4,11.5,49.0,102.9,112.1,1.001,1610612753,Orlando,2020-2021
29,OKC,103.1,16.3,14.2,49.2,101.3,111.9,0.001,1610612760,Oklahoma City,2020-2021
